Sr No,Member Id,Unit Name,Contact Person,Chapter,Category
197,422,Silver Chem,"Rohit Brijpuria, Rajeev Gupta",Kanpur Dehat,CHEMICAL & PETROLEUM
198,425,Sapna Poly Ink,Iqbal Hasan,Greater Noida,
199,426,R.D. Papers Ltd.,Rajiv Pandey,Kanpur Dehat,"PAPER, PRINTING & PUBLISHING"
200,427,M.M. Traders,Arvind Kale,Kanpur Dehat,SERVICE
,,,,,
201,428,VINAY WIRES & POLY PRODUCTS.PVT.LTD,Vinay Kanodia,Kanpur Dehat,PLASTIC & PLASTIC PRODUCTS
202,429,Pranjay Poly Bag,Lalita Jain,Kanpur Dehat,PLASTIC & PLASTIC PRODUCTS
203,430,A.S. Mfg. Company,Shakruddin Saifi,Greater Noida,
204,431,Fronter Springs Pvt. Ltd.,"S.C. Bhatia, Manu Bhatia",Kanpur Dehat,METAL
205,432,Aash Logistics Pvt. Ltd.,Ishwar Giri,Noida,SERVICE
206,433,Mantora Oil,Ratan Gupta,Kanpur Dehat,AGRO & FOOD PROCESSING
207,434,Shiv Gramodyog Pratishthan/ Jai Hind Chemicals,"Shiv Prasad Maheshwari, C.L. Maheshwari",Kanpur Dehat,SOAP & DETERGENT
208,436,Ashish Mfg. Co. Pvt. Ltd.,Ashish Malhotra,Noida,ENGINEERING COMPONENTS & SUPPLIES
209,437,Suresh Plastics,Suresh Pandey,Kanpur Dehat,PLASTIC & PLASTIC PRODUCTS
210,438,Shiv Enterprises,Mr.Dharam Veer Singh,Kanpur Dehat,PLASTIC & PLASTIC PRODUCTS
211,439,Shree Salasar Agro Industry,Ravendra Singh,Kanpur Dehat,AGRO CHEMICAL & FERTILISERS
212,440, SHREE NAGESHWAR PAPER LTD,Sanjeev Agarwal,Kanpur Dehat,"PAPER, PRINTING & PUBLISHING"
213,443,Damian,Rajive Sood,Greater Noida,
214,444,Daya Tin Industry,Jitendra Singh,Greater Noida,
215,445,D B P Engineering Works ( P ) Ltd.,P. P. Sharma,Greater Noida,
216,446,Brimco Engineering Industry,Brijesh Chandra Mishra,Kanpur Dehat,ELECTRICAL & ELECTRONICS
217,447,Delhi Control Devices Pvt. Ltd.,Rekha Gupta,Noida,ELECTRICAL & ELECTRONICS
218,448,Dev Pack India,Sanjay Gupta,Noida,PACKAGING
219,449,K.C.K. Exports Ltd.,Anshuman Kapur,Kanpur Dehat,FOOTWEAR & LEATHER
220,454,Ganga Polyster Ltd.,K. K. Singhal,Greater Noida,
221,455,Kushal Foods Pvt. Ltd. (Bakers Division),"T.P. Gupta, Pramod Gupta",Kanpur Dehat,AGRO & FOOD PROCESSING
222,456,Kushal Foods Pvt. Ltd.,T.P. Gupta,Kanpur Dehat,AGRO & FOOD PROCESSING
223,457,Gupta Metal Works,Ashish Kumar Paurwal ,Kanpur Dehat,METAL
224,458,KANPUR EDIBLES (PVT.) LTD.,Manoj Gupta,Kanpur Dehat,AGRO & FOOD PROCESSING
225,459,HoloSafe Security Labels Pvt. Ltd.,Manjula Mishra,Noida,
